,user,averages_distance,variances_distance
200,1116059291,0.53,571.4198905549154
201,841yfd39s6tsx2mqikw63l718,0.19,174.59829043921906
202,imfrenchbaloo,0.2,129.45343250699972
203,therealchelzzz,0.15,129.80164565333865
204,iv6ibr59eagogqg4f6xqnlb0g,0.3,30.604597282834035
205,31w3yh3qzfgru5yyigbvozx5ewlu,0.25,94.35840552379284
206,8xa2qjwfimyu83awmq6gjjidy,0.65,510.6480521534581
207,7lsjfo9hjbgfux37dkmww1acd,0.79,665.9233474563961
208,1218171823,0.24,175.67302842932315
209,1142530492,0.71,508.0436385546842
210,jakeypoo123456,0.3,93.37361667175628
211,1144529319,0.2,194.7799622802699
212,53cyxj9p7plq7a7mbqm95cskj,0.19,225.98181021114237
213,h3wiwz33k3h0jwdt5coxmbhfk,0.23,97.65606056931445
214,5unrwsyk8lbxnsj3cljbmcrcf,0.36,570.6023959549523
215,1gg24lv9srsbl5pt5u9vvfocm,0.22,405.3456639644485
216,_decision_,0.09,144.18832812632695
217,qqvsrw2b1rd3hmklj4zqvrb7k,0.46,363.9324058607265
218,69h6lpa4370m89lwho9ufy45b,0.24,303.83485566535853
219,1264682808,0.14,97.1085756204046
220,triasofficial,0.58,585.2110408456184
221,fk3l6idlv2bxlqwdqxrrjmb39,0.56,517.4166506688458
222,xx57zugxr12er1c8drbbngkld,0.36,515.379571190605
223,pjxmd97jakh1abefjabsfwliy,0.25,652.6974442541729
224,sphereofhiphop,0.55,635.5545167471918
225,j17i1i49aoi7gsfn23oemdie4,0.16,334.8250548554545
226,lukofficial,0.27,442.07355508899496
227,erwe87rej2hmgaf26u21shgex,0.08,150.76932511654837
228,s4ibm607ta2vd7asl8p2ebnhz,0.14,161.66071943604163
229,xym2m85sr6fsvehl9y0s9omfs,0.3,365.178408402379
230,fo8f9ckwdwp1q6uyxzmunevst,0.91,631.6332804699441
231,1299551358,0.28,141.87184710877688
232,sawwarrec,0.26,89.6808565017976
233,11343276,0.21,161.14085246525744
234,12100267343,0.26,277.79766073855444
235,valencemusic,0.21,242.4893918968832
236,o7k8bpqrteoby6d130797idw5,0.33,473.9390263334853
237,differenttwinsrecords,0.39,726.1287705094858
238,11101372438,0.9,1022.028776158886
239,celebration-records,0.33,311.2511841259389
240,12122182532,0.54,440.1181196735423
241,12858018,0.21,95.0976280407838
242,2playlist,0.27,193.00472221408876
243,listdmusic,0.29,46.17298943886779
244,8t41frq5ckki12klecjbhetjh,0.4,22.345292958433085
245,1126587373,0.18,202.3116164422237
0,david_n_slater,0.64,287.58230111964826
1,11122252082,0.12,217.96171196409432
2,workhardplaylisthard,0.31,407.80054596435065
3,aashmehta,0.21,177.80344501411926
4,bazzdream,0.36,640.8095252299222
5,samcorrazza,0.28,221.4367797997736
6,unxigned,0.37,596.6692902093936
7,018bw17cq0aekcgegrdjnfvro,0.32,174.58824018417485
8,nastigi,0.27,118.84212888391373
9,a8e0esu00fdzekiuoahzzpnz0,0.13,241.007843349869
10,ofennel,0.25,140.25047346705108
11,k9zwzfjrmcuibq65jnmfk02hk,0.32,309.6492357329792
12,1241965319,0.19,302.1096697918251
13,ktm014,0.68,720.123980537355
14,31julfg7xnezrptnnfshv22aezxm,0.2,42.91149350888711
15,4ke3yp8dq54of3g46tg0y371c,0.32,612.4427295804246
16,5v83s3es40sgv3b3wjywcr5m5,0.21,388.561451802695
17,qd38drw5g9rgll0cnljr34tpg,0.32,243.43952663030976
18,7wb4w52q4hqjouycrtt0ymr73,0.38,578.422688325124
19,31fn2gwaap25uqr7wy75k5eszo5y,0.64,403.18159635873633
20,11165814426,0.59,458.0721900359427
21,b1dd93loveagk9fdzalnwm255,0.24,273.44893850166767
22,1165462490,0.6,375.9737881475212
23,21cll3stndxk62afeotbbjscy,0.29,474.6371136203847
24,9lmp1l3qs458s6amqsbb25fm0,0.25,207.37335123601326
25,fdfk3fhmfe6yx5e5507xf3xm6,0.92,858.5541310047133
26,manusanchezhl,0.17,138.7837304349003
27,jeddycup,0.51,330.69026305090665
28,savz8vts72hqdy7von3mqc29g,0.54,263.6966780565419
29,nalzpfryfddgx66cxc3vbv5mr,0.16,110.29770480228731
30,32biizfg4h6inom15150n3zxb,0.32,523.8044287522354
31,21ezhb5mw6r2gzpb5a733wsay,0.16,238.65440161273963
32,99lz94jbrrubbw6r6rvvnsvvp,0.28,427.242494255458
33,lc3pfu8yuotinsbg97zjo42fz,0.23,126.32457057844624
34,sonymusicnl,0.18,176.97356745538502
35,filtr.ca,0.14,151.98050384673374
36,sonymusicentertainment,0.18,443.77889825941537
37,mejoresplaylistsspotify,0.22,245.39614987585813
38,sonymusic,0.2,349.2681908033117
39,filtrmexico,0.19,299.11343675123084
40,lowlypalace,0.38,416.3804465057888
41,22o3n75bhgnpae3npvqjcfpdy,0.34,509.1678621192659
42,digster.fm,0.23,320.80755084155965
43,1241340025,0.19,264.13114848535474
44,1248033372,0.17,299.72817739092517
45,12162740034,0.51,231.1778497022936
46,124754796,0.32,167.6875054534009
47,1224159663,0.19,192.98983582526856
48,rapuls97,0.17,103.5436939290338
49,swdefrancesco,0.28,221.867215741556
50,1210667071,0.28,269.85130938151013
51,1258501800,0.16,189.16557946120076
52,1223494793,0.07,132.1837527138472
53,1224261712,0.27,121.36327528824327
54,digster.au,0.11,66.5907343520761
55,12870992,0.18,66.60822351289467
56,tom_misch,0.27,360.40245077921685
