user,averages_distance,variances_distance
smo7u3pm1wl017tj3beqd04ww,0.27,543.1231340150097
172ou0xrjlfqe08pvt8929bvw,0.18,233.09317393457033
wavecache,0.24,196.14933163972248
6fbfr5ao6dnez7mwcebgedqua,0.26,208.09035127422248
22rs5hqz2ofgvxlxx2yeq3j6q,0.3,132.09177265857386
actionhero23,0.64,535.0993237326684
eeats3sf7lz0vdkujc8ooyinn,0.79,692.199963023636
1254636338,0.16,54.678075041375756
b1v44ffq29hcp8hi667kqlf9r,0.23,326.4026412766757
merlinmorgan,0.21,27.522661016387676
hagustasbwuguizht41knv0d1,0.42,732.0643671163872
1111320434,0.35,620.0404697428337
chill_masters,0.48,560.4822395413732
marco.cardin1990,0.28,591.3991979829309
lefuturewave,0.29,564.556541038334
bobsmusicbox,0.5,484.89268307633057
s3lfxzowjd5d0rpb2mw5yikv0,0.4,574.1766708936747
2u04jn0p8niegvo7ib6bm2lj1,0.34,225.76819461884153
bagigetto-it,0.66,681.6003242810873
y3dsxd7b2j6e9r3go3cvxs1vm,0.67,732.967133450425
21nyfndkvlznpmojjokel7rai,0.44,827.434386433499
djalexanderv,0.41,571.6458460329702
ftrf13rm9wdw3vy3tghe1n4j8,0.15,352.0204397762819
u8dj6j6rclzd13q8r3glw0tz4,0.15,28.064241709104646
jaymellz,0.28,351.5058253030677
11137824602,0.22,158.7205596503563
zd528uqdpa5bnyv7cbeka94ci,0.21,65.86553222849174
jq74fbo4etdnda8vem7vrqd2q,0.14,177.63252856114926
1281170391,0.45,252.79953227150543
p6gi3ut4vmzgoaj1927nxugqx,0.34,104.20331219536534
12172782523,0.24,145.13538229704213
l0gou30okja0ednuru9j2c2kf,0.15,170.41940393394236
street_science,0.21,220.19273487875057
dbomusic13,0.19,157.0825782809508
ruupe44,0.34,523.8680323356732
1175524570,0.8,302.5677006484416
kallopsia,0.11,175.38345754155273
117832757,0.55,303.7479525736275
francorosso78,0.43,598.1087298870667
